module_path,directory,vscode_only,parity_exempt,engine_gap,core_has,match_kind,vscode_imports_vscode,test_count,core_match
ActiveInstanceGuard.ts,(root),false,false,false,true,exact,false,0,ActiveInstanceGuard.ts
AdaptiveHITLPolicy.ts,(root),false,false,false,true,exact,false,0,AdaptiveHITLPolicy.ts
AdrContextLoader.ts,(root),false,false,false,true,exact,false,0,AdrContextLoader.ts
AdrPersistence.ts,(root),false,false,false,true,exact,false,0,AdrPersistence.ts
AdrStore.ts,(root),false,false,false,true,exact,false,0,AdrStore.ts
AgentSpecializationRouter.ts,(root),false,false,false,true,exact,false,0,AgentSpecializationRouter.ts
ApplyGenerationMetadata.ts,(root),false,false,false,true,exact,false,0,ApplyGenerationMetadata.ts
ApproveDecisionGate.ts,(root),false,false,false,true,exact,false,0,ApproveDecisionGate.ts
ArtifactLifecycleManager.ts,(root),false,false,false,true,exact,false,0,ArtifactLifecycleManager.ts
ArtifactTypes.ts,(root),false,false,false,true,exact,false,0,ArtifactTypes.ts
ArtifactUiHints.ts,(root),false,false,false,true,exact,false,0,ArtifactUiHints.ts
BackendMessageEnrichment.ts,(root),false,false,false,true,exact,false,0,BackendMessageEnrichment.ts
BuiltinQualityGates.ts,(root),false,false,false,true,exact,false,0,BuiltinQualityGates.ts
CodeRunnerCommandLint.ts,(root),false,false,false,true,exact,false,0,CodeRunnerCommandLint.ts
CodeRunnerImportLint.ts,(root),false,false,false,true,exact,false,0,CodeRunnerImportLint.ts
CodeRunnerInvokeHelpers.ts,(root),false,false,false,true,exact,false,0,CodeRunnerInvokeHelpers.ts
CodebaseContextLimits.ts,(root),false,false,false,true,exact,false,0,CodebaseContextLimits.ts
CodebaseContextLoader.ts,(root),false,false,false,true,exact,false,0,CodebaseContextLoader.ts
CodebaseContextProvider.ts,(root),false,false,false,true,exact,false,0,CodebaseContextProvider.ts
ConfidenceBands.ts,(root),false,false,false,true,exact,false,0,ConfidenceBands.ts
ConfidenceScorer.ts,(root),false,false,false,true,exact,false,0,ConfidenceScorer.ts
ConfigContractLint.ts,(root),false,false,false,true,exact,false,0,ConfigContractLint.ts
CrossFileKeyContractLint.ts,(root),false,false,false,true,exact,false,0,CrossFileKeyContractLint.ts
DebugFeedbackLoopGate.ts,(root),false,false,false,true,exact,false,0,DebugFeedbackLoopGate.ts
DebugLogEvents.ts,(root),false,false,false,true,exact,false,0,DebugLogEvents.ts
DebugLogUtils.ts,(root),false,false,false,true,exact,false,0,DebugLogUtils.ts
DecisionContentLintPolicy.ts,(root),false,false,false,true,exact,false,0,DecisionContentLintPolicy.ts
DecisionRecordVerify.ts,(root),false,false,false,true,exact,false,0,DecisionRecordVerify.ts
DecisionReviewUi.ts,(root),false,false,false,true,exact,false,0,DecisionReviewUi.ts
DependencyGraphAnalyzer.ts,(root),false,false,false,true,exact,false,0,DependencyGraphAnalyzer.ts
EffectiveSettings.ts,(root),false,false,false,true,exact,false,0,EffectiveSettings.ts
EngineDiagnosticsOps.ts,(root),false,false,false,true,exact,true,0,EngineDiagnosticsOps.ts
EngineExecutionRunner.ts,(root),false,false,false,true,exact,true,0,EngineExecutionRunner.ts
EngineHostFactoryBuilder.ts,(root),false,false,false,true,exact,true,0,EngineHostFactoryBuilder.ts
ErrorTypeUtils.ts,(root),false,false,false,true,exact,false,0,ErrorTypeUtils.ts
ExperienceGeneratorContext.ts,(root),false,false,false,true,exact,false,0,ExperienceGeneratorContext.ts
ExperienceLoader.ts,(root),false,false,false,true,exact,false,0,ExperienceLoader.ts
ExtensionCommands.ts,(root),true,true,false,false,missing,true,0,
ExtensionSettingsBootstrap.ts,(root),true,true,false,false,missing,true,0,
FailurePatternAnalyzer.ts,(root),false,false,false,true,exact,false,0,FailurePatternAnalyzer.ts
FsAsync.ts,(root),false,false,false,true,exact,false,0,FsAsync.ts
GeneratedWorkflowGate.ts,(root),false,false,false,true,exact,false,0,GeneratedWorkflowGate.ts
GlobalDecisionContext.ts,(root),false,false,false,true,exact,false,0,GlobalDecisionContext.ts
GrillAdaptiveFlow.ts,(root),false,false,false,true,exact,false,0,GrillAdaptiveFlow.ts
GrillCodeExplore.ts,(root),true,true,false,false,missing,false,0,
GrillLoopPolicy.ts,(root),false,false,false,true,exact,false,0,GrillLoopPolicy.ts
HITLContractNodePolicy.ts,(root),false,false,false,true,exact,false,0,HITLContractNodePolicy.ts
ImplOutputExecution.ts,(root),false,false,false,true,exact,false,0,ImplOutputExecution.ts
ImplOutputGuard.ts,(root),false,false,false,true,exact,false,0,ImplOutputGuard.ts
ImportExtract.ts,(root),false,false,false,true,exact,false,0,ImportExtract.ts
ImportPathResolve.ts,(root),false,false,false,true,exact,false,0,ImportPathResolve.ts
InputContextBudgetPriorities.ts,(root),false,false,false,true,exact,false,0,InputContextBudgetPriorities.ts
InputContextPolicy.ts,(root),false,false,false,true,exact,false,0,InputContextPolicy.ts
InputDegradeThresholds.ts,(root),false,false,false,true,exact,false,0,InputDegradeThresholds.ts
InputSourceStrategies.ts,(root),false,false,false,true,exact,false,0,InputSourceStrategies.ts
InputTokenBudgets.ts,(root),false,false,false,true,exact,false,0,InputTokenBudgets.ts
InputTruncationPolicy.ts,(root),false,false,false,true,exact,false,0,InputTruncationPolicy.ts
InstanceSession.ts,(root),false,false,false,true,exact,false,0,InstanceSession.ts
JsonExtract.ts,(root),false,false,false,true,exact,false,0,JsonExtract.ts
